system,mean,std_dev,std_err
copysyn,0.010756863629318755,0.0029051192057697383,0.0012992088053682667
xtts,0.012957692731435905,0.00295071630752326,0.0013196004491878366
xtts10k,0.012102692478931521,0.0035554278435206976,0.001590035669441553
xtts20k,0.011077119763428593,0.0023927296347369662,0.0010700612230100197
xtts30k,0.011353211260182091,0.0024565111878312416,0.001098585200695882
xtts40k,0.010929628321589903,0.0029026788731173893,0.0012981174554285938
xtts50k,0.010350693270421377,0.002537182291120711,0.001134662414850914
xtts60k,0.010448356626581064,0.003378143355402757,0.001510751636083959
xtts70k,0.010815683395501093,0.0022438596996117587,0.0010034845640608302
xtts80k,0.01083997235777936,0.002397500611256222,0.001072194868573242
xtts90k,0.011324237816570073,0.0029208237500696795,0.0013062320910903317
xtts100k,0.0108076666526636,0.0026128793211314737,0.0011685151558106955
xtts110k,0.010038512403334416,0.002632629480501455,0.0011773476955942422
xtts120k,0.010772286783440685,0.002632577311241939,0.0011773243647921192
xtts130k,0.010412156782062625,0.0021988677149419587,0.0009833635368279698
xtts140k,0.010101112042280636,0.0027060223902912834,0.0012101700026655553
xtts150k,0.010080582212475656,0.0030878323624656486,0.001380920613119392
