system,mean,std_dev,std_err
copysyn,2.80011778307781,0.36346854922413574,0.1625480767496792
xtts,5.571434734913335,0.3602674953684555,0.16111652194549142
xtts10k,5.981733803700022,0.6693381688889805,0.299337129114199
xtts20k,5.977487214258793,0.653309505268043,0.2921688928252202
xtts30k,6.066640516676379,0.805137313949027,0.36006835304232276
xtts40k,6.074431087758324,0.8805992466935381,0.3938159553083716
xtts50k,6.225026749721671,0.8129609287800232,0.3635671799606994
xtts60k,6.093376462045293,0.7044079309025877,0.31502080347763217
xtts70k,6.243837180497751,1.2470407397569279,0.557693572961623
xtts80k,6.351968970722742,1.2452713979235677,0.5569022992386575
xtts90k,6.231762385679248,0.90641221112307,0.4053598639414151
xtts100k,6.397150225400151,1.2747840213398793,0.5701007456693025
xtts110k,6.5582203543804765,1.332441270951914,0.5958858515749391
xtts120k,6.657702591070316,1.2425929201062174,0.5557044475434935
xtts130k,6.509717024606691,1.060103034521464,0.4740924896687599
xtts140k,6.338789981227879,1.1008273914552054,0.492304975757522
xtts150k,6.575829917492229,1.2877860055077195,0.5759154097576359
