system,mean,std_dev,std_err
copysyn,3.732324021027668,0.1745152625709291,0.07804559804396444
xtts,3.911794920790514,0.11407063878210548,0.05101394051072233
xtts10k,4.0890690621739125,0.12589945232040128,0.05630394674368218
xtts20k,4.0962660424110675,0.12877472137900772,0.05758980615741134
xtts30k,4.108315822924901,0.14345480506249808,0.06415493916374533
xtts40k,4.108178451581027,0.11256353568480454,0.05033994351578926
xtts50k,4.13380302743083,0.10969126600933161,0.049055425466975514
xtts60k,4.114966345098814,0.10879051287885433,0.04865259642083692
xtts70k,4.087526163992095,0.11362405584041646,0.050814222547680636
xtts80k,4.113653211897233,0.0887386359984133,0.03968512446461241
xtts90k,4.121363547470355,0.13940680319405874,0.062344617693570026
xtts100k,4.130226421778657,0.12927589766813005,0.057813939007649064
xtts110k,4.129012482371541,0.07193843351784363,0.032171845508149534
xtts120k,4.0849464556917,0.1099106355902826,0.04915353052601592
xtts130k,4.092240157747035,0.0915339688835562,0.040935235334796434
xtts140k,4.080950946640316,0.10973880491739714,0.049076685512977634
xtts150k,4.1044955464426875,0.1255727187649884,0.0561578270555955
