system,mean,std_dev,std_err
copysyn,0.006398783160334715,0.0016870224472442545,0.0009740028640454116
xtts,0.08164249775173643,0.03262795486991495,0.01883775852725236
xtts10k,0.08804846174718405,0.048237467669531874,0.027849914944030097
xtts20k,0.09972744456877058,0.04916128136323298,0.028383279028769495
xtts30k,0.10862415993748974,0.0574380817432594,0.03316189195620654
xtts40k,0.10285238321774696,0.05301310398929402,0.030607129858796527
xtts50k,0.10485717724640979,0.054502412959534716,0.031466982793671515
xtts60k,0.10421901001629148,0.05342291586231666,0.03084373485400325
xtts70k,0.10723791581443083,0.057229311862756836,0.03304135860949971
xtts80k,0.10482625315277018,0.053881983174295475,0.03110877749015038
xtts90k,0.10018688629161693,0.04984843558766504,0.028780007705220132
xtts100k,0.09317545853231102,0.047598680197043185,0.027481110824833795
xtts110k,0.10167151122506897,0.04736044835462962,0.02734356760648678
xtts120k,0.09957794379369267,0.05599506804486807,0.032328767608995994
xtts130k,0.09869619922552347,0.04899117739937323,0.028285069459444846
xtts140k,0.09609861847598156,0.04867696443008288,0.02810365851704219
xtts150k,0.08865712779034805,0.042110382336735336,0.02431244057779221
