system,mean,std_dev,std_err
copysyn,0.02521097266385907,0.005250847400152178,0.0016604637430454447
xtts,0.28270114991615514,0.17221352191488806,0.05445869731303681
xtts10k,0.5138720136650429,0.2462155971021398,0.0778602082301115
xtts20k,0.57615969558374,0.2229475505551282,0.07050220585097422
xtts30k,0.6002165744919578,0.20984394979545049,0.0663584834559648
xtts40k,0.6357484059772318,0.17822608947935334,0.05636003812197297
xtts50k,0.631100782435362,0.1902050358741317,0.06014811357962918
xtts60k,0.652009124226154,0.18140999826327464,0.05736687848391379
xtts70k,0.6535420447452067,0.1790163212063152,0.05660993133562574
xtts80k,0.6604403136439397,0.1512235074988948,0.04782107194560604
xtts90k,0.671651416322239,0.15179894214531228,0.04800304035833133
xtts100k,0.6769364747168212,0.14006333230687543,0.044291914676277216
xtts110k,0.6697865341043301,0.1416497844647924,0.04479359489806789
xtts120k,0.6693884202843308,0.12745017069915737,0.04030328275865919
xtts130k,0.6889217066320737,0.13276146414513698,0.041982861219741194
xtts140k,0.6806581386166177,0.12458400911777459,0.03939692288473522
xtts150k,0.6680989824029906,0.12850419029054297,0.04063659301938104
