system,mean,std_dev,std_err
copysyn,0.03053337169434193,0.003754820285747071,0.002167846502734739
xtts,0.29219523561318184,0.10950769386238866,0.06322429652978523
xtts10k,0.36839820794480477,0.19639106955458754,0.11338643687377964
xtts20k,0.4060181221924641,0.16578754861900463,0.0957174858234705
xtts30k,0.42982214240662514,0.16947024559096005,0.09784369191157279
xtts40k,0.40876534441052553,0.17483622152818445,0.10094173956339435
xtts50k,0.41900630528944155,0.1574366748878536,0.09089610662682188
xtts60k,0.41605122995793103,0.15935629879553026,0.09200440200666184
xtts70k,0.4124595295525338,0.167883555176213,0.09692761577349797
xtts80k,0.41163999304822735,0.1698536947211535,0.0980650763701105
xtts90k,0.39836812478255573,0.14543746031617477,0.08396835686379903
xtts100k,0.3724741426374174,0.14890240348612382,0.08596884273569587
xtts110k,0.4076220020267785,0.14797996119965795,0.0854362704332929
xtts120k,0.3997928099632544,0.17274080313424625,0.09973194918958923
xtts130k,0.3941219534714486,0.1582432621358065,0.09136178999155241
xtts140k,0.38589086994075816,0.15444369439253508,0.08916810853217043
xtts150k,0.3658977583200209,0.15117698383498,0.0872820723124014
