,mean,std_dev
p225,0.02056421624318218,0.03284890490847198
p240,0.019004887924246552,0.038107415488581514
p231,0.025119980411571104,0.047649635848301924
p229,0.04031135723654661,0.06627609832054625
p228,0.007826647286071237,0.00459296876615426
p232,0.03039237661179896,0.04913609014449724
p268,0.00680817082439713,0.006494182072980493
p257,0.028694828348307822,0.03308620494337475
p258,0.017172624966894395,0.01707364174221818
