,mean,std_dev
p225,0.17673273895587008,0.05573474898334686
p240,0.15681056031082907,0.04157423983535929
p231,0.18851730467880629,0.053452601599362354
p229,0.17233902995889872,0.04058964969700701
p228,0.1591877566085212,0.03497284074450651
p232,0.17648412479296183,0.051999884309107056
p268,0.1577011760965218,0.04682462559737314
p257,0.22548017034152598,0.05682144565306411
p258,0.1720129023831909,0.04348551108729827
