,mean,std_dev
p225,0.06273905758993226,0.030972175320468007
p240,0.052403167797550776,0.03413861331570508
p231,0.06099013086575349,0.04365020260974479
p229,0.07571779545957318,0.057244043165973896
p228,0.043381965666946416,0.012497920094028591
p232,0.06709972610518049,0.047430424852928234
p268,0.03806508995958725,0.009834199443451238
p257,0.08038686661928532,0.0402079730759309
p258,0.06060064921910494,0.01886991507561942
