,mean,std_dev
p225,0.16721025126312622,0.04640824130646707
p240,0.14818089232630127,0.03785073462258693
p231,0.1928467708518742,0.05334012313083296
p229,0.18334804008751662,0.05800000160093629
p228,0.15013544352679042,0.0468186812864913
p232,0.19164161983045427,0.08353192259806166
p268,0.19474213193388,0.08514671548909844
p257,0.250459685277442,0.06753099879659315
p258,0.2145329295178842,0.06636113867432339
