,mean,std_dev,std_err
all,0.11192129689724267,0.08143350434834133,0.005428900289889422
p225,0.119026940799121,0.1045796330451514,0.022296452681433147
p240,0.06668577655613629,0.02627775730185661,0.005479291166530649
p231,0.12083606025368768,0.10909239063100522,0.023258575831476395
p229,0.1264034034357714,0.07209195347363184,0.015032211436784241
p226,0.07401700155875882,0.09017154157702459,0.01880206615655644
p228,0.07547669384299394,0.04517038553286919,0.009630358553666812
p232,0.13585771253247877,0.09676061043347353,0.02017598198834061
p268,0.11713239598055696,0.07807888585859427,0.0170382097440393
p257,0.14992704285716374,0.05588602738579382,0.011653042254326432
p258,0.1334150716936149,0.06155416726669324,0.012834931120385713
