,mean,std_dev,std_err
all,0.16784604625883512,0.055271153419981754,0.003684743561332117
p225,0.1690819023165919,0.05158656010740877,0.010998291569221306
p240,0.13922842114362624,0.031616225500801357,0.006592438734995941
p231,0.18326987089362826,0.061056453079234414,0.013017279534625493
p229,0.1651031474439543,0.0377530700560538,0.007872059281593754
p226,0.12050596415551883,0.033580042569867595,0.007001922900467569
p228,0.14669174028149737,0.04388141793441877,0.009355549738318012
p232,0.1799970654727396,0.060772412404985536,0.012671923963460462
p268,0.1649378795056759,0.05345255475151794,0.011664303725600116
p257,0.22361771750074527,0.052338169732297365,0.010913262794549712
p258,0.18557845131823852,0.05429797837244387,0.011321911144813852
