,mean,std_dev,std_err
all,0.10037493718506572,0.06351591981230058,0.004234394654153372
p225,0.09631841797744543,0.060436934760616644,0.012885197785300761
p240,0.06424927201135978,0.03387931885025243,0.007064326318713194
p231,0.09834362111504293,0.06302584941113368,0.013437156243374528
p229,0.10482351349223783,0.06274430252778497,0.01308309147700092
p226,0.058648921192480455,0.041223224642441804,0.00859563653186192
p228,0.07597546354536062,0.045545288865750704,0.009710288212801257
p232,0.12209315427349444,0.07172687207570241,0.014956086703011849
p268,0.11547821813713968,0.0898213377401632,0.019600622819832932
p257,0.1481190822781987,0.04759082686666618,0.00992337337859459
p258,0.11968750143601906,0.0546322091598047,0.01139160308160023
