,mean,std_dev,std_err
all,0.13152666860033196,0.09796893040173148,0.006531262026782099
p225,0.12295189157263196,0.07515856699495183,0.016023860323584868
p240,0.06560558959483334,0.029077209069536845,0.006063017211549536
p231,0.14452792656745775,0.11975194634852401,0.025531200746483945
p229,0.12151164215260829,0.05414545121787992,0.011290107034552157
p226,0.08628546598216749,0.07457671723721566,0.015550320497018173
p228,0.08659707548565848,0.05513919273525116,0.011755715390425619
p232,0.17965308185754136,0.14008888262520328,0.029210551276504584
p268,0.15198111494478295,0.093806788837764,0.0204703195499901
p257,0.1725222446146724,0.07568545313713015,0.015781507913532885
p258,0.1836482958619941,0.12877312348288966,0.026851052389334076
