,mean,std_dev,std_err
all,0.14745243508488787,0.1077087055374861,0.013061599109694264
p245,0.1073074844507901,0.06707717172730546,0.01398655715932488
p288,0.14313758318101044,0.12232521561122958,0.025506570657580874
p340,0.19393313773822562,0.11213744184449805,0.023907782931532586
