,mean,std_dev,std_err
all,0.12836783632219448,0.06051036933205432,0.0056923367184262335
p285,0.18100158690318977,0.06966839662330068,0.01452686490020343
p262,0.10737140418635702,0.04817648367700643,0.010045491265241223
p252,0.133101047598019,0.05926899248008276,0.012358439238737627
p281,0.12484914646821318,0.04588305918154357,0.009782301086091957
p272,0.09386279055878521,0.037743646237511475,0.008046972415710186
