,mean,std_dev,std_err
all,0.12222109119445633,0.07810989980463395,0.0052073266536422635
p225,0.11405569003891201,0.06121899767541993,0.013051934158971979
p240,0.0689343071250308,0.041332948025966584,0.008618515438885949
p231,0.12550451181064012,0.06775453657205155,0.014445315733503796
p229,0.12135020432470778,0.06413349545844237,0.013372758226949177
p226,0.11758324028710923,0.10738129796037785,0.022390548424896347
p228,0.08345425704493349,0.05284149678978109,0.011265844968884017
p232,0.13685863757317412,0.07999124400462142,0.016679327373320132
p268,0.10986617791414588,0.0565258933851434,0.01233496119821063
p257,0.17968104511506944,0.08103134578788018,0.016896203587216052
p258,0.16195072587390572,0.09072335675303281,0.018917127574649594
