,mean,std_dev,std_err
all,0.13624385248049392,0.09328060791667284,0.006218707194444856
p225,0.12602753954683135,0.07046392186594319,0.01502295861904485
p240,0.07153745900913773,0.03742568361926857,0.007803794490557247
p231,0.15625872694623918,0.13131771493944358,0.027997030895271217
p229,0.12486024844123216,0.05954763483467023,0.012416540186035918
p226,0.11114265329080063,0.08857253773566182,0.018468650807499667
p228,0.08717673692601148,0.0619922420713248,0.013216790418096858
p232,0.16687862170685738,0.10393554201024681,0.021672058641971095
p268,0.1513499863245093,0.10823546259460451,0.023618914296111265
p257,0.1879033875688842,0.0879853903175464,0.01834622210764621
p258,0.17890941346468026,0.08811775682414041,0.01837382243220944
