,mean,std_dev,std_err
all,0.19543082713309168,0.08310164710066993,0.0055401098067113285
p225,0.18796868783116102,0.0596598502639189,0.012719522813935964
p240,0.1401805049896442,0.028970742520723358,0.006040817401507013
p231,0.2047044745700015,0.09308087766041272,0.019844909796208926
p229,0.1932915322230459,0.054576821446454524,0.011380053945005058
p226,0.14998749895814997,0.06631464776300766,0.013827559921704848
p228,0.15627678492301988,0.05371404020843331,0.011451871850792043
p232,0.22340151521119278,0.11102294058243223,0.023149883402439286
p268,0.209725628544024,0.08762576453612456,0.019121509467388942
p257,0.24669060943459356,0.07083854995491165,0.014770858736501224
p258,0.24170047241768283,0.10161032762625598,0.021187217927136164
