,mean,std_dev,std_err
all,0.17876933179979762,0.07130881457858788,0.004753920971905859
p225,0.19128699117242418,0.07461251738709686,0.01590744215602449
p240,0.1431147191903313,0.03508599891545487,0.007315936505463234
p231,0.18668260848393892,0.07006896353033763,0.014938753218963124
p229,0.1840562143985726,0.059937210005442026,0.012497772224500584
p226,0.12256686691567484,0.03564729112007691,0.007432974020624802
p228,0.15202934846372704,0.06561629662153011,0.01398944144431244
p232,0.1910839519413395,0.06633996523190477,0.013832838978897337
p268,0.18979012462890144,0.11175732049339422,0.024387446696496125
p257,0.2266082635340885,0.057894707957757155,0.012071881106817197
p258,0.20115825267675674,0.060633687333254936,0.01264299778641353
