,mean,std_dev,std_err
all,0.12584695011550961,0.08702763462123556,0.00580184230808237
p225,0.13742477402975928,0.09903580924116774,0.021114505475074544
p240,0.09121374941705929,0.06942464556189126,0.014476039290457854
p231,0.1285589180757369,0.06709336485845023,0.014304353450529928
p229,0.11548271526625134,0.057277852856807095,0.011943257926884478
p226,0.09552333756529484,0.08851262086052629,0.018456157275388654
p228,0.07790157698516205,0.04961783356478455,0.010578557660025517
p232,0.15162577195662735,0.09257181118828524,0.019302556968127455
p268,0.14467520262783026,0.14005816472163357,0.030563197215879977
p257,0.15925802415359278,0.06530017904987019,0.013616028572405754
p258,0.15697938428511998,0.08076547968217315,0.016840766671966913
