,mean,std_dev,std_err
all,0.19661926873443022,0.05513340295137426,0.005186514270135958
p285,0.24936763897573308,0.05953852098290437,0.012414639816575156
p262,0.17674471605708303,0.045003945617922245,0.009383971350777514
p252,0.20214959262585805,0.05109917385291078,0.010654914294740287
p281,0.19459235441803122,0.037605324057213396,0.008017482027782767
p272,0.1584963988020194,0.03444226496701115,0.007343115563876523
