,mean,std_dev,std_err
all,0.12722107004460556,0.09102309564846062,0.006068206376564041
p225,0.13740551794518638,0.13687530611570642,0.029181913315262074
p240,0.07529486546422932,0.04118078085422427,0.008586786390231377
p231,0.12134818246306084,0.06602855257642601,0.014077334709218112
p229,0.11638355490145061,0.06285370160707658,0.013105902761917794
p226,0.11484047535078327,0.10528059192264365,0.02195252093633204
p228,0.07772147874478758,0.04400797509029056,0.009382531814609806
p232,0.15328789346883928,0.08398207748794496,0.017511473678694694
p268,0.13122566709598255,0.08768620617059106,0.019134698913344638
p257,0.1633332331865839,0.10310582469017512,0.02149905062114334
p258,0.1797533606565422,0.09163136548712503,0.01910646048379754
