,mean,std_dev,std_err
all,0.17669342700399443,0.06159297986059063,0.0041061986573727085
p225,0.1731159497233327,0.04466944940899461,0.00952355861320835
p240,0.14443082810702917,0.028171410389194126,0.005874145130464202
p231,0.18830711757216995,0.05210750870815663,0.011109358184085202
p229,0.17924600408850597,0.03986138046330242,0.008311672390811632
p226,0.13947480621680217,0.048462079784652244,0.01010504217028397
p228,0.14970272665188206,0.05607428317367322,0.011955077341754482
p232,0.17375739868809292,0.04970028002328977,0.010363224767528805
p268,0.18223701709675538,0.08588343786963282,0.018741302618125205
p257,0.2360911766012844,0.08250523578064739,0.017203530895442493
p258,0.2002291884732603,0.05186337049544556,0.010814260309882811
