system,mean,std_dev,std_err
copysyn,0.006398783101270493,0.0016870160694274466,0.0009739991818111608
xtts,0.08164247792766198,0.03262796521189683,0.01883776449819838
xtts10k,0.08804843439759129,0.04823748900305323,0.027849927260944398
xtts20k,0.09972751674525743,0.04916136571960373,0.028383327731942853
xtts30k,0.1086242291321395,0.05743815844074037,0.03316193623751783
xtts40k,0.10285235751989148,0.053013112039372305,0.030607134506511393
xtts50k,0.10485722043042156,0.05450250502892806,0.03146703594996055
xtts60k,0.10421898720273058,0.05342289707380947,0.03084372400645357
xtts70k,0.10723792265389949,0.05722937697331604,0.03304139620109858
xtts80k,0.10482631529171262,0.05388210296514771,0.031108846651431165
xtts90k,0.10018691042194973,0.04984850480094129,0.028780047665523806
xtts100k,0.09317545908666831,0.047598723654031574,0.027481135914737737
xtts110k,0.10167151776832466,0.0473605212953926,0.027343609718855924
xtts120k,0.09957792142573386,0.05599517616557964,0.03232883003251792
xtts130k,0.09869623912142993,0.04899120141455292,0.028285083324615302
xtts140k,0.09609855764304744,0.04867688796392133,0.028103614369283235
xtts150k,0.08865715726747349,0.042110404115419484,0.024312453151721366
