system,mean,std_dev,std_err
copysyn,0.007254267377915702,0.0035299291848645766,0.001578632322623523
xtts,0.05528763592258447,0.02932267748004322,0.013113500025535773
xtts10k,0.13697826930569829,0.053658334212726616,0.023996736571811873
xtts20k,0.1553196703736625,0.043561431338625806,0.01948126433407139
xtts30k,0.1601435784102842,0.043257076128414805,0.019345152546203784
xtts40k,0.1650090641216681,0.04406186067746173,0.01970506313798587
xtts50k,0.15489168645484938,0.0390835488791364,0.01747869441913694
xtts60k,0.15970164902685804,0.039369485390181265,0.017606569114326027
xtts70k,0.15325806886510845,0.036494059306126175,0.016320639476681387
xtts80k,0.16077653493958177,0.04215860420099746,0.018853900965987703
xtts90k,0.16977900381038688,0.04741153347956943,0.021203082355564878
xtts100k,0.16321401451653655,0.040873192017990924,0.018279047161925903
xtts110k,0.1708206199405921,0.04571614980513234,0.020444883726767935
xtts120k,0.16059883375316794,0.05032534812199073,0.02250617987842253
xtts130k,0.16038167117326918,0.03963341091207092,0.017724600195914503
xtts140k,0.15715116346081098,0.04544232053514655,0.02032242355438446
xtts150k,0.16308368660832193,0.047277430708041364,0.0211431097729433
