system,mean,std_dev,std_err
copysyn,0.0442231343122386,0.01925767843453529,0.008612295613690528
xtts,0.22076711346100092,0.0514624290054663,0.023014697908695907
xtts10k,0.26191430445636743,0.0725131122624102,0.03242884965576455
xtts20k,0.2741806070274998,0.07866493550561658,0.03518002864723909
xtts30k,0.2784664986235101,0.0758888816374221,0.033938539615542274
xtts40k,0.2823222197009611,0.0796321496844617,0.03561257997777895
xtts50k,0.27319696553475564,0.07515663297684184,0.033611068059244145
xtts60k,0.28916661795235465,0.07851792024606814,0.03511428142442308
xtts70k,0.2710698047941365,0.06982979524252951,0.031228833803437477
xtts80k,0.2821944067162424,0.07968380657966045,0.03563568164361316
xtts90k,0.29112661078360946,0.07946149658940452,0.03553626159355524
xtts100k,0.2845566211040341,0.07341877228600177,0.03283387313121552
xtts110k,0.2856467760831164,0.08147562192370644,0.03643700582609596
xtts120k,0.2896219941062032,0.0710764710536359,0.031786364175345194
xtts130k,0.2944255284697543,0.08033678272533588,0.03592770145349637
xtts140k,0.291069496905057,0.08454496052560924,0.03780965577805972
xtts150k,0.2905040911241733,0.08285683521088993,0.037054703186409604
