,mean,std_dev,std_err
all,0.13345849418611253,0.07031848790475567,0.008527369207794868
p245,0.13463909216190376,0.06953507113031206,0.014499064613154035
p288,0.10405909809874549,0.07475638339538222,0.015587783480714159
p340,0.1629599649391236,0.054735353410690024,0.011669616557136617
