,mean,std_dev,std_err
all,0.09804918099740556,0.05738791946994001,0.003825861297996001
p225,0.10156059746382097,0.0621587729849155,0.013252294928169749
p240,0.06634251293690162,0.027076600944909088,0.005645861580684956
p231,0.11269011696908103,0.0593416104918288,0.012651673866553508
p229,0.08865228283349212,0.034459805869572556,0.007185366229414468
p226,0.05519618755246785,0.031878931541436346,0.0066472167311282
p228,0.07290316946037523,0.04067439948528687,0.008671811107597434
p232,0.12387999811374487,0.07591147901444634,0.015828637566903208
p268,0.10282065066587984,0.06031756235558922,0.013162371201414596
p257,0.1422962124456583,0.047211834337724336,0.009844347973490273
p258,0.1142609198038515,0.060868528483520264,0.012691965551257595
