,mean,std_dev,std_err
all,0.1245955044915872,0.08107192751828196,0.005404795167885464
p225,0.13520756957750715,0.09921969875045668,0.021153710850185227
p240,0.0817045340291503,0.07038819375321978,0.014676952976988475
p231,0.10492926044065486,0.05970711146490642,0.012729598935842329
p229,0.1149436319431753,0.05681911364267095,0.011847604188443876
p226,0.10572213645965908,0.08413082624173414,0.017542489937932764
p228,0.08949427695733342,0.05994253949681056,0.012779792360894483
p232,0.15230816872883163,0.09913530423686122,0.02067113987531896
p268,0.14512413557048598,0.07556227457363211,0.01648904013889077
p257,0.16251473590451257,0.06798840336225373,0.01417656208975639
p258,0.15387189337667187,0.0897838493701962,0.018721226743215125
