,mean,std_dev,std_err
all,0.15607602544790528,0.0883166876738736,0.008308135112132931
p285,0.2314506804251143,0.11164823627633892,0.02328026656766665
p262,0.1258640917474676,0.0689445775035523,0.014375938180565788
p252,0.15282501188001799,0.0763935190461863,0.015929149861673517
p281,0.13942629158497868,0.05815022189034876,0.012397668963260054
p272,0.12890897397881657,0.0759466748216169,0.016191885476795325
