,mean,std_dev,std_err
all,0.1917272107542859,0.0801905551271527,0.0053460370084768465
p225,0.17182979606942944,0.060467435335650146,0.012891700529747162
p240,0.1565016204560533,0.03713631822749497,0.0077434576354431794
p231,0.2190498160598297,0.09436140031030013,0.020117918142474506
p229,0.18750570050174592,0.0419476897926871,0.008746697958170088
p226,0.17534550145601763,0.12431247665390227,0.02592094322947222
p228,0.15106808321041607,0.046670357939474015,0.00995015374526861
p232,0.21391364449090755,0.11069917723091317,0.023082374076904135
p268,0.1852664230449989,0.07206549816158579,0.015725980967627038
p257,0.23557551925964243,0.06175560544645341,0.012876933884407128
p258,0.21920924158765476,0.06540673068912563,0.013638246125031922
