,mean,std_dev,std_err
all,0.17022930962959879,0.05965767001536192,0.003977178001024128
p225,0.16685914338509436,0.05085602489618397,0.01084254093886518
p240,0.1378377700628552,0.03109762796252599,0.0064843036731710105
p231,0.1725942834053296,0.05539506304464701,0.011810267123682945
p229,0.17602929073510043,0.05435718841446129,0.01133425729203141
p226,0.123939909334915,0.039867464915151286,0.008312941086723757
p228,0.14782229622907433,0.045169534277911115,0.00963017706549995
p232,0.1808066023031081,0.06045978714388556,0.01260673709032276
p268,0.17735050492907162,0.08619881833811888,0.018810124278579872
p257,0.2279282266697588,0.052029203742541316,0.010848838932232164
p258,0.19072638162123007,0.0478264187803043,0.00997249768842343
