,mean,std_dev,std_err
all,0.10735360951963745,0.06476606486622763,0.004317737657748509
p225,0.10087797063615578,0.047980530262524725,0.010229483423092316
p240,0.06995209887152574,0.027612966912937454,0.005757701616228546
p231,0.11619897545811901,0.06357255963508888,0.013553715254760713
p229,0.10938929098225439,0.04850486958585215,0.010113964460608789
p226,0.07368851035330891,0.05298544365609475,0.011048228737504747
p228,0.07818236284219941,0.05594864372338213,0.011928290920949897
p232,0.1128987469052499,0.05906865488042951,0.01231666596153233
p268,0.12243802571674686,0.08491519688469894,0.018530015113152914
p257,0.1586647979591181,0.08347498420902734,0.017405737420768907
p258,0.13139172037481736,0.05917957456608194,0.012339794314793541
