,mean,std_dev,std_err
all,0.19138555973649077,0.074124105911664,0.004941607060777601
p225,0.19945531653882498,0.08289112585514709,0.01767244741184042
p240,0.16028909101981095,0.0590445070371731,0.012311630788144977
p231,0.19237109315984344,0.05269173329481056,0.01123391528447238
p229,0.18812685083392813,0.049851857389876894,0.010394830833307033
p226,0.1592864394665802,0.07581132583027918,0.015807754184390642
p228,0.1486778467542877,0.04829224631186582,0.010295941508111379
p232,0.20588728940606082,0.0740998583003554,0.015450888535210875
p268,0.2002423919662497,0.11290155069269925,0.024637138196532776
p257,0.2379890897812763,0.05901278929182649,0.012305017181058817
p258,0.2208371989468717,0.06903841797626437,0.014395505271748182
