,mean,std_dev,std_err
all,0.18837613661469277,0.07741296721256215,0.005160864480837477
p225,0.18717128085964074,0.07693955014838355,0.016403567207713785
p240,0.14258670082847721,0.030573222764757567,0.006374957630629844
p231,0.18733386689091136,0.05111459450713095,0.010897668165146868
p229,0.17664030661548452,0.04477211986020116,0.009335632338742966
p226,0.17556768945140372,0.10686924979870807,0.02228377900249677
p228,0.15392021747285567,0.07247520044592698,0.015451764653088089
p232,0.19580910149909733,0.06844812406787533,0.014272420483318983
p268,0.19242601228851847,0.07932370656791694,0.017309851892949767
p257,0.24669048228073176,0.05959551687420575,0.012426524281453525
p258,0.22437208651315388,0.10421674096583469,0.021730692677428963
