,mean,std_dev,std_err
all,0.19264099019918812,0.07278699021095225,0.004852466014063484
p225,0.19157773736608472,0.08814403138777525,0.018792370634345093
p240,0.14535248403792236,0.033609620437489704,0.007008090312203851
p231,0.20366267006247982,0.06089385516002036,0.012982613541771125
p229,0.18305649475073044,0.03818177527293134,0.007961450498694185
p226,0.15569541610211307,0.05709791720276143,0.01190573874941317
p228,0.15288921991346988,0.04715922595300091,0.01005438075595589
p232,0.20915006679971515,0.07975996722226579,0.016631102830562242
p268,0.19819214284857326,0.07512287627176328,0.016393155568483676
p257,0.25375022296429245,0.08264625646781967,0.017232935741398146
p258,0.23227079332229314,0.07259436109633738,0.015136970667850493
