,mean,std_dev,std_err
all,0.12320006116922015,0.0911549204655747,0.00607699469770498
p225,0.12364421170638253,0.09398686347935503,0.020038066621815454
p240,0.0697456472068266,0.031048821447201128,0.00647412681122588
p231,0.12105125244862971,0.06108930186786822,0.013024282919893635
p229,0.10216565361711331,0.04967735923845104,0.01035844545350843
p226,0.12011161798731672,0.13543383559326083,0.02823990687223098
p228,0.07973074395166994,0.06957584376991453,0.014833619732791813
p232,0.14194435742500866,0.0850697507389533,0.017738269229314253
p268,0.13525764584806396,0.09288784689651333,0.020269789978321014
p257,0.17074179290766964,0.0643948450819808,0.01342725339056533
p258,0.16669208833076873,0.1295593714334593,0.027014996420050678
