,mean,std_dev,std_err
all,0.12096496876405932,0.06269060544366661,0.0058974360792459525
p285,0.16292790395918577,0.07093099487421343,0.014790134834681988
p262,0.12039430412217847,0.0574660042658889,0.011982490207703185
p252,0.11377635536247224,0.0506279940700072,0.010556666518392608
p281,0.129554743796874,0.06755821886792743,0.014403460658351243
p272,0.07661682489087433,0.029284703365808087,0.00624351973585184
