,Hypoth. Rank,"Pronunciation
(PPG cosine)","Pronunciation
(PPG Jensen-Shannon)","Accent
(GenAID cosine)","Accent
(CommonAccent cosine)","Speaker
(WavLM cosine)","Intelligbility
(Whisper WER)","Intelligbility
(Whisper CER)","Predicted MOS
(UTMOS)",MCD,"F0
(RMSE)","F0
(Period. RMSE)","F0
(Pearson Coeff.)","Voicing
(F1-score)"
copysyn,1.0,0.0255551921761977,0.0683737297205683,0.0072542858183956,0.0442231343122386,0.055660668000000024,0.0173735203258251,0.0072435009055826,3.732324021027668,2.80011778307781,299.1267625045634,0.0107568636293187,-0.8137977339034688,-0.9829422913814134
xtts,2.0,0.1206540264263169,0.1936249197177956,0.0552876328854624,0.2207671134610009,0.07516093400000001,0.0126182777785029,0.0049925453059021,3.911794920790514,5.571434734913335,482.673592237904,0.0129576927314359,-0.616388387147617,-0.96309209537566
xtts10k,3.0,0.1242446037457186,0.1945391991809579,0.1369782208341636,0.2619143044563674,0.12063230200000008,0.0038151704687846,0.0024941563017283,4.0890690621739125,5.981733803700022,468.63678247450446,0.0121026924789315,-0.6283685135526266,-0.9675626421120702
xtts20k,4.0,0.1280371951429128,0.1962701401757449,0.1553196489120367,0.2741806070274998,0.12298622599999987,0.0065612648860385,0.0043099290761257,4.0962660424110675,5.977487214258793,427.1898087669667,0.0110771197634285,-0.6580413670996903,-0.9695351268767276
xtts30k,5.0,0.1283443872748134,0.1981379127660697,0.160143547661573,0.2784664986235101,0.12222419400000017,0.0036438924462898,0.0015107772876269,4.108315822924901,6.066640516676379,431.21116536305215,0.011353211260182,-0.6426653835230429,-0.9682587858785938
xtts40k,6.0,0.1273977819515886,0.197149258890414,0.1650091031855559,0.2823222197009611,0.12374134999999986,0.0049795175287798,0.0037068735955378,4.108178451581027,6.074431087758324,443.5416283965176,0.0109296283215899,-0.6271228510879069,-0.9671581389011844
xtts50k,7.0,0.1346771615216123,0.2030312693133731,0.154891705822984,0.2731969655347556,0.121090998,0.0111740349751451,0.0092033854763027,4.13380302743083,6.225026749721671,433.9656570925602,0.0103506932704213,-0.6448498344081988,-0.968194550676243
xtts60k,8.0,0.1293953337040395,0.1992298317194379,0.1597016231949954,0.2891666179523546,0.12424616,0.0120937498440973,0.008391924992962,4.114966345098814,6.093376462045293,456.9293232313304,0.010448356626581,-0.6027012757809737,-0.9674575387692336
xtts70k,9.0,0.1422240738513664,0.2081236218861125,0.1532580657872514,0.2710698047941365,0.121319548,0.0100201732114605,0.0096901960140867,4.087526163992095,6.243837180497751,425.84599887228086,0.010815683395501,-0.6456906654735798,-0.9688369393582162
xtts80k,10.0,0.1462202112486092,0.2118987211949636,0.1607765368574492,0.2821944067162424,0.12266630599999995,0.0241181845824591,0.0194352051815599,4.113653211897233,6.351968970722742,431.836570000504,0.0108399723577793,-0.6540708647562345,-0.9685227157990656
xtts90k,11.0,0.1405760755865149,0.2072477546893508,0.1697790141574661,0.2911266107836094,0.12736423000000008,0.0189581888952391,0.0157777237558641,4.121363547470355,6.231762385679248,441.5618749306985,0.01132423781657,-0.6315917933735216,-0.9703185828075434
xtts100k,12.0,0.1546191411732503,0.2188029960659003,0.1632140562184117,0.2845566211040341,0.12872259399999986,0.0203233993262523,0.0166317021487126,4.130226421778657,6.397150225400151,445.6530689701244,0.0108076666526636,-0.6319811578236314,-0.964394427599318
xtts110k,13.0,0.155695009923279,0.2194674964836747,0.170820609966123,0.2856467760831164,0.13110297599999998,0.0268238578565978,0.022176574347099,4.129012482371541,6.5582203543804765,440.3712276071668,0.0100385124033344,-0.6146742026825903,-0.966164817119674
xtts120k,14.0,0.161151382503024,0.2241322829702202,0.1605987623629,0.2896219941062032,0.12775877199999996,0.0390937080570007,0.0384476134927185,4.0849464556917,6.657702591070316,425.62714996950706,0.0107722867834406,-0.6694708710867661,-0.968005747929568
xtts130k,15.0,0.1599360444156563,0.2223314432931342,0.1603816558652283,0.2944255284697543,0.1280772039999999,0.0141652554597543,0.0132436663188452,4.092240157747035,6.509717024606691,423.3860519332319,0.0104121567820626,-0.6509055706116522,-0.9689513379781732
xtts140k,16.0,0.1501678162218993,0.2164266164348953,0.1571511152652595,0.291069496905057,0.12920416199999996,0.0175105765005463,0.0155903882628652,4.080950946640316,6.338789981227879,439.2850702606205,0.0101011120422806,-0.6269358563800103,-0.9701592745116312
xtts150k,17.0,0.1596323425317505,0.222504247669827,0.1630836517780529,0.2905040911241733,0.1324242200000001,0.0233091565769298,0.0209147455029027,4.1044955464426875,6.575829917492229,441.56465041768297,0.0100805822124756,-0.6271613764815888,-0.9671202157870952
