,Hypoth. Rank,"Pronunciation
(PPG cosine)","Pronunciation
(PPG Jensen-Shannon)","Accent
(GenAID cosine)","Accent
(CommonAccent cosine)","Speaker
(WavLM cosine)","Intelligbility
(Whisper WER)","Intelligbility
(Whisper CER)","Predicted MOS
(UTMOS)",MCD,"F0
(RMSE)","F0
(Period. RMSE)","F0
(Pearson Coeff.)","Voicing
(F1-score)"
copysyn,1.0,0.0255551921761977,0.0683737297205683,0.0072542858183956,0.0442231343122386,0.055660668000000024,0.0173735203258251,0.0072435009055826,3.732324021027668,2.80011778307781,299.1267625045634,0.0107568636293187,-0.8137977339034688,-0.9829422913814134
xtts,2.0,0.1206540264263169,0.1936249197177956,0.0552876328854624,0.2207671134610009,0.07516093400000001,0.0126182777785029,0.0049925453059021,3.911794920790514,5.571434734913335,482.673592237904,0.0129576927314359,-0.616388387147617,-0.96309209537566
xtts30k,3.0,0.1283443872748134,0.1981379127660697,0.160143547661573,0.2784664986235101,0.12222419400000017,0.0036438924462898,0.0015107772876269,4.108315822924901,6.066640516676379,431.21116536305215,0.011353211260182,-0.6426653835230429,-0.9682587858785938
xtts60k,4.0,0.1293953337040395,0.1992298317194379,0.1597016231949954,0.2891666179523546,0.12424616,0.0120937498440973,0.008391924992962,4.114966345098814,6.093376462045293,456.9293232313304,0.010448356626581,-0.6027012757809737,-0.9674575387692336
xtts90k,5.0,0.1405760755865149,0.2072477546893508,0.1697790141574661,0.2911266107836094,0.12736423000000008,0.0189581888952391,0.0157777237558641,4.121363547470355,6.231762385679248,441.5618749306985,0.01132423781657,-0.6315917933735216,-0.9703185828075434
xtts120k,6.0,0.161151382503024,0.2241322829702202,0.1605987623629,0.2896219941062032,0.12775877199999996,0.0390937080570007,0.0384476134927185,4.0849464556917,6.657702591070316,425.62714996950706,0.0107722867834406,-0.6694708710867661,-0.968005747929568
xtts150k,7.0,0.1596323425317505,0.222504247669827,0.1630836517780529,0.2905040911241733,0.1324242200000001,0.0233091565769298,0.0209147455029027,4.1044955464426875,6.575829917492229,441.56465041768297,0.0100805822124756,-0.6271613764815888,-0.9671202157870952
